ce_id,u_id,p_id
237,554271,554271
238,248974,248974
239,458695,458695
240,168686,168686
241,216973,216973
242,509244,509244
243,545722,545722
244,567154,567154
245,453194,453194
246,564881,564881
247,537083,537083
248,215184,215184
249,426186,426186
250,324015,324015
251,185249,185249
252,592337,592337
253,300188,300188
254,404935,404935
255,536039,536039
256,426883,426883
257,142707,142707
258,534163,534163
259,163602,163602
260,148587,148587
261,591974,591974
262,535950,535950
263,136879,136879
264,115815,115815
265,308194,308194
266,465452,465452
267,233289,233289
268,525880,525880
269,268711,268711
270,186618,186618
271,126337,126337
272,148392,148392
273,495614,495614
274,511811,511811
275,308375,308375
276,201611,201611
277,422195,422195
278,195243,195243
279,454572,454572
280,574470,574470
281,498577,498577
282,142910,142910
283,350613,350613
284,420157,420157
285,182256,182256
286,511470,511470
287,457697,457697
288,478447,478447
289,299451,299451
290,259141,259141
291,464651,464651
292,275826,275826
293,484775,484775
294,367428,367428
295,168157,168157
296,281592,281592
297,383674,383674
298,424362,424362
299,167032,167032
300,140993,140993
301,477515,477515
302,161735,161735
303,487353,487353
304,237640,237640
305,332947,332947
306,434578,434578
307,458529,458529
308,155173,155173
309,315586,315586
310,293452,293452
311,110700,110700
312,206793,206793
313,222520,222520
314,126452,126452
315,586670,586670
316,397259,397259
317,398653,398653
318,303030,303030
319,331263,331263
320,595283,595283
321,289155,289155
322,544043,544043
323,482675,482675
324,323392,323392
325,206299,206299
326,358893,358893
327,312056,312056
328,546831,546831
329,249658,249658
330,240649,240649
331,366931,366931
332,135948,135948
333,131682,131682
334,194018,194018
335,362690,362690
336,221114,221114
337,262509,262509
338,432519,432519
339,348030,348030
340,596248,596248
341,471457,471457
342,419277,419277
343,322574,322574
344,221630,221630
345,498399,498399
346,254784,254784
347,129308,129308
348,409818,409818
349,416007,416007
350,419272,419272
351,410159,410159
352,416305,416305
353,382359,382359
354,216610,216610
355,492945,492945
356,205147,205147
357,153032,153032
358,179986,179986
359,375871,375871
360,139145,139145
361,155265,155265
362,308447,308447
363,362189,362189
364,119090,119090
365,192320,192320
366,470048,470048
367,108421,108421
368,521113,521113
369,509484,509484
370,165663,165663
371,410130,410130
372,108804,108804
373,563538,563538
374,541456,541456
375,573759,573759
376,480909,480909
377,494317,494317
378,579172,579172
379,281604,281604
380,211505,211505
381,300940,300940
382,274156,274156
383,105006,105006
384,275659,275659
385,470253,470253
386,259287,259287
387,188656,188656
388,272589,272589
389,262348,262348
390,486140,486140
391,248738,248738
392,236265,236265
393,515106,515106
394,278817,278817
395,183288,183288
396,435501,435501
397,476071,476071
398,341212,341212
399,177497,177497
400,246546,246546
401,345691,345691
402,445406,445406
403,266627,266627
404,508526,508526
405,323740,323740
406,567713,567713
407,341841,341841
408,531069,531069
409,123161,123161
410,369892,369892
411,391952,391952
412,571858,571858
413,440062,440062
414,333488,333488
415,246870,246870
416,568023,568023
417,274460,274460
418,291060,291060
419,527323,527323
420,173266,173266
421,128581,128581
422,491896,491896
423,391077,391077
424,315336,315336
425,589188,589188
426,235183,235183
427,209900,209900
428,505270,505270
429,195958,195958
430,257082,257082
431,147475,147475
432,268935,268935
433,549584,549584
434,303296,303296
435,270297,270297
436,365473,365473
437,325523,325523
438,263867,263867
439,497172,497172
440,426762,426762
441,302434,302434
442,358619,358619
443,216088,216088
444,161360,161360
445,420660,420660
446,336505,336505
447,257239,257239
448,294512,294512
449,567043,567043
450,287951,287951
451,286151,286151
452,146503,146503
453,232757,232757
454,582101,582101
455,267122,267122
456,421057,421057
457,503286,503286
458,298675,298675
459,310318,310318
460,193551,193551
461,252470,252470
462,132283,132283
463,562813,562813
464,313010,313010
465,119375,119375
466,192390,192390
467,176083,176083
468,428626,428626
469,402504,402504
470,495835,495835
471,290698,290698
472,480074,480074
473,349648,349648
474,290861,290861
475,555584,555584
476,101341,101341
477,215097,215097
478,213760,213760
479,284588,284588
480,328287,328287
481,550034,550034
482,318884,318884
483,419680,419680
484,257541,257541
485,593574,593574
486,190328,190328
487,465800,465800
488,236910,236910
489,194417,194417
490,432429,432429
491,491206,491206
492,523452,523452
493,460227,460227
494,163186,163186
495,192876,192876
496,142081,142081
497,217638,217638
498,117865,117865
499,393739,393739
500,161201,161201
501,373940,373940
502,562461,562461
503,534015,534015
504,339244,339244
505,111578,111578
506,421064,421064
507,408039,408039
508,252121,252121
509,385625,385625
510,503571,503571
511,261535,261535
512,257851,257851
513,555295,555295
514,281525,281525
515,333160,333160
516,300344,300344
517,106589,106589
518,388744,388744
519,144085,144085
520,465087,465087
521,217221,217221
522,322167,322167
523,529523,529523
524,133756,133756
525,468912,468912
526,527893,527893
527,233259,233259
528,140593,140593
529,398426,398426
530,253478,253478
531,563725,563725
532,106959,106959
533,354262,354262
534,202925,202925
535,481216,481216
536,232485,232485
537,361165,361165
538,491461,491461
539,316306,316306
540,324591,324591
541,569292,569292
542,119460,119460
543,271641,271641
544,588557,588557
545,508452,508452
546,211858,211858
547,574990,574990
548,159458,159458
549,537559,537559
550,535876,535876
551,448260,448260
552,188965,188965
553,352752,352752
554,476017,476017
555,305618,305618
556,117241,117241
557,101503,101503
558,458525,458525
559,430137,430137
560,171077,171077
561,291226,291226
562,128870,128870
563,494848,494848
564,172999,172999
565,357350,357350
566,175555,175555
567,333103,333103
568,193262,193262
569,423677,423677
570,141606,141606
571,496753,496753
572,474895,474895
573,405351,405351
574,351652,351652
575,450015,450015
576,493745,493745
577,148053,148053
578,263622,263622
579,512215,512215
580,198028,198028
581,513132,513132
582,242400,242400
583,425383,425383
584,192749,192749
585,179774,179774
586,551350,551350
587,411924,411924
588,554622,554622
589,260587,260587
590,501056,501056
591,193705,193705
592,467284,467284
593,544790,544790
594,538661,538661
595,106099,106099
596,250268,250268
597,370063,370063
598,495777,495777
599,425423,425423
600,227907,227907
601,367859,367859
602,279030,279030
603,512459,512459
604,516608,516608
605,298693,298693
606,211398,211398
607,446868,446868
608,117702,117702
609,360573,360573
610,597198,597198
611,119486,119486
612,213607,213607
613,226968,226968
614,345954,345954
615,567564,567564
616,112893,112893
617,467366,467366
618,105543,105543
619,375236,375236
620,319085,319085
621,599682,599682
622,493207,493207
623,103954,103954
624,589505,589505
625,197275,197275
626,548092,548092
627,570786,570786
628,507109,507109
629,558546,558546
630,550261,550261
631,535428,535428
632,322951,322951
633,462086,462086
634,438425,438425
635,509707,509707
636,405432,405432
637,395716,395716
638,348989,348989
639,559776,559776
640,376899,376899
641,237554,237554
642,205408,205408
643,414565,414565
644,479296,479296
645,433171,433171
646,288255,288255
647,285523,285523
648,171918,171918
649,245701,245701
650,172673,172673
651,115531,115531
652,282753,282753
653,152812,152812
654,270936,270936
655,129193,129193
656,575071,575071
657,112201,112201
658,388055,388055
659,432642,432642
660,106620,106620
661,299803,299803
662,460007,460007
663,493897,493897
664,421965,421965
665,345244,345244
666,307758,307758
667,172602,172602
668,252048,252048
669,418332,418332
670,184487,184487
671,274912,274912
672,396989,396989
673,440926,440926
674,528406,528406
675,450570,450570
676,427189,427189
677,203023,203023
678,578752,578752
679,342907,342907
680,117834,117834
681,429292,429292
682,417649,417649
683,481853,481853
684,120619,120619
685,148984,148984
686,214446,214446
687,344101,344101
688,174791,174791
689,458865,458865
690,438050,438050
691,594946,594946
692,504442,504442
693,463133,463133
694,529628,529628
695,547594,547594
696,221425,221425
697,168061,168061
698,550104,550104
699,544397,544397
700,500637,500637
701,355968,355968
702,533287,533287
703,243875,243875
704,350546,350546
705,351738,351738
706,206070,206070
707,561913,561913
708,202866,202866
709,169591,169591
710,309579,309579
711,283726,283726
712,507147,507147
713,564058,564058
714,530890,530890
715,171024,171024
716,434508,434508
717,411280,411280
718,151581,151581
719,119169,119169
720,539310,539310
721,136953,136953
722,126032,126032
723,131109,131109
724,378975,378975
725,241330,241330
726,391712,391712
727,395642,395642
728,455679,455679
729,382244,382244
730,459103,459103
731,550439,550439
732,592429,592429
733,364850,364850
734,378078,378078
735,207381,207381
736,474800,474800
737,311577,311577
738,417950,417950
739,477601,477601
740,547464,547464
741,580381,580381
742,476230,476230
743,334807,334807
744,310849,310849
745,412165,412165
746,567016,567016
747,257088,257088
748,512068,512068
749,162922,162922
750,365133,365133
751,561779,561779
752,116802,116802
753,285946,285946
754,383921,383921
755,382856,382856
756,321883,321883
757,331200,331200
758,185513,185513
759,212025,212025
760,148280,148280
761,493351,493351
762,404047,404047
763,251846,251846
764,478826,478826
765,471738,471738
766,126007,126007
767,327821,327821
768,394542,394542
769,113026,113026
770,126250,126250
771,431404,431404
772,531460,531460
773,442081,442081
774,110665,110665
775,196706,196706
776,361917,361917
777,589043,589043
778,259008,259008
779,141584,141584
780,552662,552662
781,477030,477030
782,470623,470623
783,407647,407647
784,292138,292138
785,590863,590863
786,428450,428450
787,391123,391123
788,221471,221471
789,170598,170598
790,490390,490390
791,545398,545398
792,142927,142927
793,359360,359360
794,197209,197209
795,195531,195531
796,582281,582281
797,130877,130877
798,444109,444109
799,524888,524888
800,140268,140268
801,406130,406130
802,219611,219611
803,300964,300964
804,580993,580993
805,146694,146694
806,181512,181512
807,586050,586050
808,373188,373188
809,587856,587856
810,532927,532927
811,381220,381220
812,566417,566417
813,289568,289568
814,225609,225609
815,547673,547673
816,187190,187190
817,413457,413457
818,438008,438008
819,188526,188526
820,516886,516886
821,358348,358348
822,436307,436307
823,318527,318527
824,560037,560037
825,555155,555155
826,324880,324880
827,350774,350774
828,255367,255367
829,289800,289800
830,429037,429037
831,256442,256442
832,122510,122510
833,505395,505395
834,403117,403117
835,162129,162129
836,553570,553570
837,246231,246231
838,419695,419695
839,337572,337572
840,561299,561299
841,275673,275673
842,290787,290787
843,333789,333789
844,196825,196825
845,242742,242742
846,323677,323677
847,522709,522709
848,518111,518111
849,237528,237528
850,352767,352767
851,302461,302461
852,383189,383189
853,336225,336225
854,580769,580769
855,272999,272999
856,406098,406098
857,540012,540012
858,300234,300234
859,492591,492591
860,299515,299515
861,307476,307476
862,239359,239359
863,154005,154005
864,510917,510917
865,556735,556735
866,559662,559662
867,253821,253821
868,267165,267165
869,422736,422736
870,229710,229710
871,509700,509700
872,186388,186388
873,334095,334095
874,495872,495872
875,299498,299498
876,460104,460104
877,426276,426276
878,596423,596423
879,588478,588478
880,316094,316094
881,564666,564666
882,577602,577602
883,542128,542128
884,265743,265743
885,158506,158506
886,357694,357694
887,212154,212154
888,336831,336831
889,495599,495599
890,470336,470336
891,554756,554756
892,493046,493046
893,499583,499583
894,439549,439549
895,405246,405246
896,428118,428118
897,489319,489319
898,419574,419574
899,126128,126128
900,168866,168866
901,172249,172249
902,517883,517883
903,272749,272749
904,307183,307183
905,361909,361909
906,404856,404856
907,347897,347897
908,130528,130528
909,209694,209694
910,154844,154844
911,165805,165805
912,299500,299500
913,182708,182708
914,452591,452591
915,238004,238004
916,568137,568137
917,449297,449297
918,530816,530816
919,235290,235290
920,410347,410347
921,313276,313276
922,445286,445286
923,575787,575787
924,396645,396645
925,288791,288791
926,507384,507384
927,495364,495364
928,494550,494550
929,259747,259747
930,121974,121974
931,526779,526779
932,273771,273771
933,569712,569712
934,377874,377874
935,258067,258067
936,503968,503968
937,323525,323525
938,301059,301059
939,305241,305241
940,174448,174448
941,558109,558109
942,441015,441015
943,299809,299809
944,523086,523086
945,316182,316182
946,529096,529096
947,434940,434940
948,200656,200656
949,502452,502452
950,313583,313583
951,416723,416723
952,501368,501368
953,374097,374097
954,192512,192512
955,509155,509155
956,188658,188658
957,465126,465126
958,248927,248927
959,294096,294096
960,204020,204020
961,103264,103264
962,509846,509846
963,105197,105197
964,481318,481318
965,232149,232149
966,119018,119018
967,596715,596715
968,456244,456244
969,370242,370242
970,166445,166445
971,382263,382263
972,205803,205803
973,411241,411241
974,177900,177900
975,532000,532000
976,246469,246469
977,534036,534036
978,393609,393609
979,184498,184498
980,232671,232671
981,538335,538335
982,548578,548578
983,347116,347116
984,550279,550279
985,594914,594914
986,195109,195109
987,453179,453179
988,568241,568241
989,398605,398605
990,243671,243671
991,450977,450977
992,290235,290235
993,260596,260596
994,285500,285500
995,503254,503254
996,386245,386245
997,453415,453415
998,169118,169118
999,390452,390452
1000,354529,354529
1001,150262,150262
1002,234929,234929
1003,115000,115000
1004,107976,107976
1005,327897,327897
1006,531926,531926
1007,236266,236266
1008,116026,116026
1009,197604,197604
1010,546416,546416
1011,382532,382532
1012,375141,375141
1013,295424,295424
1014,133055,133055
1015,444244,444244
1016,144428,144428
1017,556808,556808
1018,499453,499453
1019,349522,349522
1020,308074,308074
1021,256031,256031
1022,538030,538030
1023,352456,352456
1024,145845,145845
1025,399166,399166
1026,482935,482935
1027,577676,577676
1028,441042,441042
1029,237280,237280
1030,567127,567127
1031,417424,417424
1032,200240,200240
1033,323909,323909
1034,472513,472513
1035,583357,583357
1036,228273,228273
1037,388622,388622
1038,276691,276691
1039,188949,188949
1040,287837,287837
1041,221157,221157
1042,568366,568366
1043,386968,386968
1044,499484,499484
1045,391257,391257
1046,352222,352222
1047,350262,350262
1048,420637,420637
1049,548865,548865
1050,276039,276039
1051,579477,579477
1052,419794,419794
1053,172909,172909
1054,521726,521726
1055,220849,220849
1056,541441,541441
1057,244671,244671
1058,217966,217966
1059,396722,396722
1060,467953,467953
1061,517947,517947
1062,378646,378646
1063,377032,377032
1064,384542,384542
1065,560804,560804
1066,286706,286706
1067,130906,130906
1068,322942,322942
1069,541713,541713
1070,584600,584600
1071,464729,464729
1072,473323,473323
1073,402097,402097
1074,264937,264937
1075,232319,232319
1076,112033,112033
1077,274630,274630
1078,338913,338913
1079,488219,488219
1080,409890,409890
1081,222344,222344
1082,273522,273522
1083,399253,399253
1084,528747,528747
1085,329509,329509
1086,582642,582642
1087,588912,588912
1088,317026,317026
1089,530423,530423
1090,361422,361422
1091,540157,540157
1092,179385,179385
1093,121929,121929
1094,282996,282996
1095,344462,344462
1096,251555,251555
1097,510665,510665
1098,404400,404400
1099,123845,123845
1100,459155,459155
1101,218885,218885
1102,548272,548272
1103,322512,322512
1104,419151,419151
1105,308922,308922
1106,348764,348764
1107,423832,423832
1108,392215,392215
1109,147205,147205
1110,292938,292938
1111,563089,563089
1112,174486,174486
1113,100469,100469
1114,514349,514349
1115,299890,299890
1116,228721,228721
1117,591805,591805
1118,470650,470650
1119,160098,160098
1120,443205,443205
1121,317292,317292
1122,592044,592044
1123,469408,469408
1124,498949,498949
1125,138334,138334
1126,502769,502769
1127,192045,192045
1128,266712,266712
1129,361210,361210
1130,235126,235126
1131,329513,329513
1132,430182,430182
1133,316955,316955
1134,402369,402369
1135,404069,404069
1136,204920,204920
1137,555772,555772
1138,494257,494257
1139,527061,527061
1140,592381,592381
1141,428622,428622
1142,360601,360601
1143,355098,355098
1144,576665,576665
1145,352370,352370
1146,224114,224114
1147,249143,249143
1148,253814,253814
1149,366162,366162
1150,402015,402015
1151,320695,320695
1152,524888,524888
1153,296726,296726
1154,446942,446942
1155,363337,363337
1156,219733,219733
1157,553818,553818
1158,298810,298810
1159,108185,108185
1160,475501,475501
1161,599488,599488
1162,244042,244042
1163,377410,377410
1164,434962,434962
1165,112494,112494
1166,463474,463474
1167,431787,431787
1168,565926,565926
1169,511924,511924
1170,422857,422857
1171,318922,318922
1172,194310,194310
1173,551942,551942
1174,578086,578086
1175,437832,437832
1176,409996,409996
1177,575582,575582
1178,219411,219411
1179,549017,549017
1180,431806,431806
1181,132167,132167
1182,531863,531863
1183,384602,384602
1184,497537,497537
1185,521769,521769
1186,384470,384470
1187,423533,423533
1188,389756,389756
1189,206033,206033
1190,257102,257102
1191,526898,526898
1192,469015,469015
1193,191725,191725
1194,162683,162683
1195,150480,150480
1196,511807,511807
1197,133356,133356
1198,309772,309772
1199,310304,310304
1200,248216,248216
1201,235308,235308
1202,337831,337831
1203,291234,291234
1204,127319,127319
1205,389658,389658
1206,234940,234940
1207,420070,420070
1208,352334,352334
1209,198081,198081
1210,166490,166490
1211,442038,442038
1212,508674,508674
1213,313543,313543
1214,162033,162033
1215,490844,490844
1216,521027,521027
1217,250539,250539
1218,235046,235046
1219,560741,560741
1220,461790,461790
1221,431561,431561
1222,509222,509222
1223,392115,392115
1224,206008,206008
1225,400682,400682
1226,306372,306372
1227,152748,152748
1228,131536,131536
1229,200307,200307
1230,575020,575020
1231,249949,249949
1232,238154,238154
1233,202543,202543
1234,156013,156013
1235,186297,186297
1236,573000,573000
1237,457200,457200
1238,514136,514136
1239,588930,588930
1240,359985,359985
1241,475249,475249
1242,126738,126738
1243,282216,282216
1244,448566,448566
1245,492068,492068
1246,253401,253401
1247,264458,264458
1248,158542,158542
1249,472195,472195
1250,325530,325530
1251,165085,165085
1252,306870,306870
1253,591248,591248
1254,149884,149884
1255,256441,256441
1256,406986,406986
1257,146375,146375
1258,300464,300464
1259,381504,381504
1260,577891,577891
1261,466847,466847
1262,500275,500275
1263,318055,318055
1264,199664,199664
1265,450550,450550
1266,442371,442371
1267,164822,164822
1268,529076,529076
1269,119079,119079
1270,514952,514952
1271,407449,407449
1272,215785,215785
1273,347935,347935
1274,491779,491779
1275,526209,526209
1276,100156,100156
1277,278911,278911
1278,546976,546976
1279,396793,396793
1280,530690,530690
1281,444952,444952
1282,282532,282532
1283,261659,261659
1284,391879,391879
1285,398176,398176
1286,584691,584691
1287,445806,445806
1288,230201,230201
1289,342878,342878
1290,472235,472235
1291,243204,243204
1292,419830,419830
1293,477625,477625
1294,248713,248713
1295,343637,343637
1296,289011,289011
1297,169830,169830
1298,354579,354579
1299,348424,348424
1300,401250,401250
1301,305161,305161
1302,495690,495690
1303,566581,566581
1304,546852,546852
1305,426308,426308
1306,583050,583050
1307,596138,596138
1308,584854,584854
1309,235632,235632
1310,207802,207802
1311,493084,493084
1312,241280,241280
1313,462766,462766
1314,273804,273804
1315,343930,343930
1316,201767,201767
1317,590569,590569
1318,435313,435313
1319,415929,415929
1320,310247,310247
1321,552891,552891
1322,342823,342823
1323,262053,262053
1324,358025,358025
1325,371710,371710
1326,283080,283080
1327,562883,562883
1328,488085,488085
1329,553000,553000
1330,215079,215079
1331,416074,416074
1332,105777,105777
1333,408872,408872
1334,319222,319222
1335,388801,388801
1336,493867,493867
1337,518980,518980
1338,149259,149259
1339,213215,213215
1340,464113,464113
1341,213815,213815
1342,387924,387924
1343,280782,280782
1344,501266,501266
1345,206467,206467
1346,144750,144750
1347,561850,561850
1348,249516,249516
1349,175345,175345
1350,269812,269812
1351,232486,232486
1352,460128,460128
1353,509696,509696
1354,440395,440395
1355,157767,157767
1356,165764,165764
1357,406291,406291
1358,165051,165051
1359,442482,442482
1360,319746,319746
1361,523000,523000
1362,254606,254606
1363,317090,317090
1364,200912,200912
1365,104931,104931
1366,275966,275966
1367,551583,551583
1368,158825,158825
1369,557219,557219
1370,536336,536336
1371,102467,102467
1372,591825,591825
1373,275284,275284
1374,276941,276941
1375,272495,272495
1376,345458,345458
1377,114392,114392
1378,594556,594556
1379,290397,290397
1380,515655,515655
1381,454650,454650
1382,135287,135287
1383,415476,415476
1384,542847,542847
1385,204158,204158
1386,598295,598295
1387,199724,199724
1388,103628,103628
1389,183757,183757
1390,152313,152313
1391,143350,143350
1392,514392,514392
1393,164481,164481
1394,541811,541811
1395,484111,484111
1396,551362,551362
1397,575270,575270
1398,197812,197812
1399,556724,556724
1400,381803,381803
1401,242494,242494
1402,424090,424090
1403,245638,245638
1404,286882,286882
1405,385289,385289
1406,238536,238536
1407,582888,582888
1408,403169,403169
1409,207234,207234
1410,547110,547110
1411,375592,375592
1412,381973,381973
1413,534333,534333
1414,255434,255434
1415,104826,104826
1416,449482,449482
1417,222833,222833
1418,421909,421909
1419,247455,247455
1420,385705,385705
1421,436615,436615
1422,515695,515695
1423,432196,432196
1424,219002,219002
1425,437581,437581
1426,456492,456492
1427,591008,591008
1428,423635,423635
1429,195197,195197
1430,451422,451422
1431,146233,146233
1432,577949,577949
1433,287710,287710
1434,330312,330312
1435,148182,148182
1436,182362,182362
1437,180210,180210
1438,383713,383713
1439,579341,579341
1440,311553,311553
1441,433042,433042
1442,263527,263527
1443,455754,455754
1444,263327,263327
1445,265169,265169
1446,535398,535398
1447,148903,148903
1448,392453,392453
1449,288213,288213
1450,193209,193209
1451,418991,418991
1452,351819,351819
1453,546855,546855
1454,392644,392644
1455,466071,466071
1456,553105,553105
1457,438803,438803
1458,120203,120203
1459,127242,127242
1460,333029,333029
1461,371895,371895
1462,179924,179924
1463,175627,175627
1464,281932,281932
1465,400539,400539
1466,379550,379550
1467,465741,465741
1468,137897,137897
1469,324527,324527
1470,214580,214580
1471,386914,386914
1472,428063,428063
1473,376186,376186
1474,229647,229647
1475,270836,270836
1476,502454,502454
1477,322032,322032
1478,146224,146224
1479,218941,218941
1480,292326,292326
1481,557733,557733
1482,535916,535916
1483,114971,114971
1484,553593,553593
1485,283840,283840
1486,482949,482949
1487,334920,334920
1488,232795,232795
1489,521666,521666
1490,324161,324161
1491,498999,498999
1492,568747,568747
1493,313316,313316
1494,570543,570543
1495,371898,371898
1496,471480,471480
1497,455899,455899
1498,471750,471750
1499,508618,508618
1500,457624,457624
1501,457850,457850
1502,424204,424204
1503,519485,519485
1504,386849,386849
1505,196781,196781
1506,585501,585501
1507,172156,172156
1508,592001,592001
1509,459583,459583
1510,311388,311388
1511,229438,229438
1512,123369,123369
1513,118108,118108
1514,184828,184828
1515,421795,421795
1516,461033,461033
1517,118369,118369
1518,251221,251221
1519,388988,388988
1520,262456,262456
1521,593317,593317
1522,120107,120107
1523,330512,330512
1524,213157,213157
1525,577374,577374
1526,246842,246842
1527,256502,256502
1528,302913,302913
1529,359521,359521
1530,478614,478614
1531,517634,517634
1532,480430,480430
1533,239538,239538
1534,524333,524333
1535,257428,257428
1536,554917,554917
1537,243196,243196
1538,159828,159828
1539,161956,161956
1540,538883,538883
1541,232682,232682
1542,219427,219427
1543,476561,476561
1544,196593,196593
1545,439745,439745
1546,275929,275929
1547,314407,314407
1548,361511,361511
1549,176928,176928
1550,379225,379225
1551,328587,328587
1552,279635,279635
1553,579746,579746
1554,209526,209526
1555,229081,229081
1556,329765,329765
1557,326733,326733
1558,252664,252664
1559,414801,414801
1560,370308,370308
1561,599022,599022
1562,520038,520038
1563,334722,334722
1564,416996,416996
1565,220050,220050
1566,211920,211920
1567,389798,389798
1568,526244,526244
1569,308853,308853
1570,504747,504747
1571,509302,509302
1572,122201,122201
1573,488241,488241
1574,256877,256877
1575,378423,378423
1576,242171,242171
1577,420422,420422
1578,366940,366940
1579,341141,341141
1580,560311,560311
1581,530698,530698
1582,192361,192361
1583,106729,106729
1584,235273,235273
1585,142071,142071
1586,291482,291482
1587,403291,403291
1588,378668,378668
1589,109404,109404
1590,122968,122968
1591,456015,456015
1592,596493,596493
1593,596764,596764
1594,251915,251915
1595,375688,375688
1596,392629,392629
1597,310264,310264
1598,201250,201250
1599,586125,586125
1600,293800,293800
1601,497669,497669
1602,232254,232254
1603,229467,229467
1604,116706,116706
1605,346293,346293
1606,529259,529259
1607,204109,204109
1608,329335,329335
1609,217711,217711
1610,286307,286307
1611,251119,251119
1612,442136,442136
1613,512211,512211
1614,439903,439903
1615,481312,481312
1616,283090,283090
1617,121341,121341
1618,238589,238589
1619,557780,557780
1620,541101,541101
1621,557002,557002
1622,289180,289180
1623,334681,334681
1624,224006,224006
1625,585978,585978
1626,361566,361566
1627,125803,125803
1628,468784,468784
1629,159128,159128
1630,587967,587967
1631,370550,370550
1632,473437,473437
1633,136130,136130
1634,431449,431449
1635,500512,500512
1636,316619,316619
1637,596444,596444
1638,326884,326884
1639,115745,115745
1640,229574,229574
1641,448779,448779
1642,427142,427142
1643,562932,562932
1644,376003,376003
1645,153826,153826
1646,485713,485713
1647,575247,575247
1648,522489,522489
1649,229064,229064
1650,123748,123748
1651,460561,460561
1652,419126,419126
1653,454345,454345
1654,261508,261508
1655,408426,408426
1656,278439,278439
1657,250407,250407
1658,443576,443576
1659,292320,292320
1660,107808,107808
1661,279679,279679
1662,487649,487649
1663,142052,142052
