grp_id,ce_id,date_added
76083,9540,2020-03-26 09:29:26
7505,10572,2020-05-15 21:15:08
69880,49654,2019-07-06 01:35:18
20684,47536,2019-09-18 05:58:20
20714,49995,2020-10-07 12:51:00
62815,9903,2019-11-25 17:39:14
35266,45475,2020-08-15 05:17:03
36543,5716,2020-07-28 19:59:23
18459,1500,2020-10-31 10:27:29
68948,8843,2019-12-12 05:12:17
48913,25101,2019-07-19 10:00:16
28757,9473,2020-03-16 06:09:14
82589,49510,2020-11-14 15:47:43
25606,8246,2021-05-04 04:53:50
30163,20396,2021-04-28 05:21:30
57428,9304,2021-03-15 20:56:07
85825,9371,2020-07-30 08:19:33
13199,24912,2020-06-20 13:39:39
76954,1821,2020-11-26 07:37:35
85892,7104,2021-03-17 19:32:36
19424,10605,2020-10-25 06:35:50
99061,47503,2020-11-21 14:04:35
1953,12622,2020-05-28 05:12:10
16229,39491,2019-06-17 09:43:05
45825,15664,2020-03-04 18:25:40
81518,38917,2019-11-14 20:13:29
81883,2149,2020-09-30 01:20:52
1508,37439,2019-05-11 06:44:57
59747,49923,2020-07-06 13:49:58
54692,25665,2021-05-04 07:58:36
1730,3701,2021-02-22 15:38:41
201,36715,2019-11-07 21:04:09
59648,4682,2020-06-12 22:02:40
71342,35066,2020-04-29 17:03:56
30372,20620,2020-08-12 11:08:32
93988,44375,2019-12-27 20:47:35
67310,39805,2020-04-11 01:58:13
46946,15512,2019-10-08 03:44:03
27711,39426,2021-03-19 00:44:27
61976,30737,2019-11-21 00:59:49
11083,40161,2019-06-06 10:40:18
84839,42760,2019-07-01 11:15:01
83617,29574,2020-09-27 17:23:35
55911,37267,2020-04-06 09:24:47
9928,49334,2019-11-30 03:33:03
64638,11942,2020-09-01 06:52:42
25067,1025,2019-05-12 00:59:13
94311,20015,2019-10-09 06:40:55
10857,18982,2020-07-24 14:04:43
45485,20723,2020-02-09 21:00:05
82166,44728,2019-07-10 00:53:56
77524,30475,2019-07-19 21:37:03
60625,6301,2019-10-17 08:52:56
19979,23832,2021-03-05 04:23:20
2600,27601,2019-12-14 12:43:36
10075,25525,2020-06-08 05:16:29
80282,47128,2020-05-15 19:08:51
61136,33034,2019-06-15 00:03:03
76416,24463,2019-10-25 05:16:54
83894,10213,2019-11-24 11:16:56
32559,20049,2020-09-25 14:16:11
45160,42845,2021-03-14 13:28:40
20921,1324,2019-05-11 20:07:31
94149,45013,2019-08-12 22:20:51
56353,24440,2021-04-19 01:09:07
85742,13593,2020-06-18 08:55:09
82237,48069,2019-09-13 00:00:43
26985,27796,2020-04-04 01:07:44
64810,20147,2020-06-08 21:48:32
95684,31143,2021-05-07 04:43:53
15624,25968,2020-11-12 12:31:13
85488,30142,2020-04-29 11:20:40
99456,16329,2020-09-19 21:46:02
10520,26974,2020-04-13 06:29:46
46450,32006,2019-12-02 15:12:36
24810,40674,2020-09-19 02:31:12
29741,7148,2020-02-18 04:22:52
42903,36407,2019-09-12 14:20:49
33537,47430,2020-09-14 01:33:51
92260,36365,2019-07-05 00:02:30
32721,12098,2021-02-18 09:51:34
45865,36301,2019-12-09 09:27:14
51158,47943,2020-12-23 02:12:31
65077,34936,2019-08-11 06:33:40
66751,40760,2020-08-30 16:12:17
71742,39310,2019-05-30 22:54:39
67286,21543,2019-11-08 03:13:09
86413,22185,2021-03-07 01:28:40
36294,1222,2020-07-20 14:44:48
84280,16123,2020-09-07 12:07:35
7455,17732,2020-03-22 03:36:21
16293,36503,2020-03-31 05:40:38
73576,1553,2019-11-24 13:04:58
31342,40222,2020-11-05 07:29:50
63285,29206,2019-05-27 20:40:39
34205,18285,2020-11-29 00:10:53
95617,14282,2019-05-31 23:41:17
42823,7853,2019-05-30 09:28:49
94207,29958,2019-08-28 10:51:33
96170,20301,2020-09-04 11:55:19
19098,16359,2020-04-24 12:51:31
3988,48396,2021-02-04 20:59:15
59041,537,2020-03-15 18:17:26
15010,33211,2021-01-23 22:13:28
81391,26325,2020-05-23 22:35:22
48775,49233,2019-07-01 16:58:52
25983,32563,2019-07-04 11:49:38
4811,48823,2020-02-20 18:48:16
71320,32553,2021-03-18 15:13:31
2886,32890,2021-01-28 08:46:54
6617,35697,2021-03-17 18:58:26
58287,1760,2020-01-23 07:32:21
81991,4467,2019-10-25 14:17:33
38754,36808,2019-07-14 02:53:08
82904,33378,2020-04-16 10:58:53
98834,44711,2021-03-26 20:08:55
69180,2636,2019-11-01 20:15:41
86329,11313,2020-06-18 14:23:38
697,37749,2019-09-30 04:24:33
85518,17379,2020-06-14 23:02:27
83095,9175,2021-03-19 09:33:10
98498,9784,2020-04-13 15:26:53
23819,40647,2019-06-21 09:48:12
36514,30949,2019-05-16 04:16:09
51854,47804,2020-06-02 05:22:21
79984,24338,2020-04-25 22:24:20
8682,1261,2020-09-01 18:00:24
92153,43798,2021-02-09 22:54:36
75147,38440,2021-01-09 21:49:49
63403,623,2020-02-27 10:04:51
7271,6346,2019-07-10 17:02:40
12017,44286,2020-10-02 07:54:26
9331,39478,2021-04-14 01:47:24
44940,18835,2021-03-29 01:04:54
30282,23874,2020-04-17 09:02:31
34962,46656,2019-05-17 13:59:37
89917,35300,2019-07-28 20:40:10
11667,19705,2019-09-12 16:45:55
79661,35340,2020-12-19 12:03:23
79858,31483,2021-03-06 22:35:17
63705,19838,2020-11-15 13:40:38
86445,45220,2019-11-02 09:12:49
88564,49683,2021-03-27 02:17:19
75231,32957,2019-05-15 13:15:00
23949,9007,2020-11-03 23:33:06
6483,26930,2021-03-10 23:07:18
3931,31957,2021-01-08 04:05:32
99835,41305,2021-05-04 19:39:55
81856,43602,2020-03-18 04:41:19
68535,5599,2020-03-20 09:46:53
89759,29880,2021-02-23 19:59:30
3820,17603,2019-11-10 15:07:05
72173,27342,2019-08-09 05:05:47
14463,42845,2020-02-04 21:30:28
57723,34234,2021-01-12 00:05:03
58663,39759,2021-01-13 12:10:36
50462,38130,2020-03-27 04:54:53
49286,34702,2020-11-14 20:11:34
88365,2773,2020-04-05 02:01:53
44996,40459,2019-10-17 15:03:26
84652,35450,2019-12-26 18:36:09
8366,45828,2019-11-03 05:33:14
48176,47465,2019-09-07 09:18:51
85342,38362,2020-11-06 19:22:39
35773,2366,2019-08-17 10:18:55
88401,45060,2020-01-26 19:15:06
2004,6778,2021-04-26 21:37:35
26971,11083,2019-12-09 00:46:00
57905,2133,2020-09-14 12:17:47
93423,22406,2020-05-15 08:23:24
83172,37844,2020-04-12 14:46:47
96217,9460,2019-06-07 03:33:16
1253,46845,2020-06-29 19:20:24
39973,21937,2020-12-11 00:05:37
93002,5057,2021-01-12 12:16:44
23809,16541,2019-12-26 01:27:41
68034,48012,2020-04-28 08:20:41
3094,12059,2019-09-06 15:58:01
84481,42182,2019-05-14 21:34:25
42422,18520,2019-05-24 13:39:20
86636,39516,2020-05-06 12:04:32
2192,26214,2020-03-17 20:18:11
69482,16441,2021-04-06 00:12:13
88864,37737,2019-08-27 03:31:41
87164,20971,2019-11-16 00:22:11
25779,23863,2020-03-20 18:08:30
87561,29392,2019-11-27 22:32:52
78257,6191,2020-08-09 11:26:32
18137,32980,2020-11-13 20:01:24
6037,47208,2021-01-15 16:56:00
78000,18058,2020-12-28 11:34:44
77183,32837,2021-02-21 11:02:50
71072,7510,2020-10-31 12:19:19
54324,9877,2019-07-25 07:15:17
35694,5098,2019-06-03 17:01:25
68917,47636,2020-03-05 20:18:15
94980,15349,2019-09-21 03:44:45
35915,33843,2019-09-03 03:27:29
31667,4124,2020-03-17 11:17:12
99213,23713,2019-08-16 13:23:52
1273,9702,2021-03-27 00:21:50
54115,42359,2020-06-26 19:43:54
91310,21335,2020-12-27 03:20:08
26080,36670,2020-09-29 09:55:12
72459,19771,2021-01-01 08:42:10
7147,23364,2021-05-07 18:01:50
55529,6155,2020-12-06 21:38:29
41716,7200,2019-08-11 00:18:19
63491,3441,2020-02-19 07:48:30
45440,2593,2020-11-03 00:19:24
3478,37250,2020-01-03 08:35:09
91843,19170,2020-01-24 05:13:55
29140,28538,2021-01-19 18:56:54
6812,21744,2021-04-04 21:49:09
108,6962,2019-08-12 17:34:15
95353,22552,2021-02-11 04:51:47
34554,16081,2020-04-13 09:41:34
51156,43146,2020-03-16 16:39:27
37614,621,2020-08-14 20:02:56
80352,41574,2020-02-22 16:57:01
17907,41633,2020-05-24 22:21:54
76816,27192,2019-08-15 06:29:18
38830,34780,2019-11-07 21:32:42
24612,739,2020-07-07 15:21:28
46163,30581,2019-12-31 20:46:52
29030,23568,2019-05-31 23:27:05
27428,27901,2020-09-22 03:07:56
67562,18695,2019-12-01 06:27:37
49384,30275,2020-02-10 10:37:57
55046,319,2021-04-12 18:53:24
6248,1789,2020-04-07 02:48:31
77077,23307,2021-03-08 02:25:56
46495,3966,2020-12-23 07:14:34
37664,28543,2020-10-28 22:30:15
83543,3046,2021-03-27 04:25:28
81574,27945,2021-04-18 00:23:58
6531,27021,2021-02-08 06:02:30
36212,22953,2020-06-05 07:51:36
58214,5791,2021-01-03 18:00:42
66087,13681,2020-01-27 03:13:23
29634,34323,2021-01-27 23:15:39
75838,1394,2021-01-22 11:19:43
41872,19781,2020-02-20 03:32:18
5706,16967,2019-06-19 19:41:24
4478,23421,2020-11-05 00:20:17
53213,19158,2020-09-15 17:50:21
67744,15629,2019-08-10 01:25:23
61816,31504,2020-04-23 05:10:21
84697,21091,2020-08-22 23:08:11
10560,13712,2021-04-02 12:55:26
24761,29411,2019-06-16 08:03:10
16681,28727,2020-06-10 07:03:37
62502,47573,2020-09-23 03:43:54
17089,21879,2020-05-06 23:27:54
17936,41939,2020-09-08 22:26:19
49138,43008,2020-03-18 12:35:06
43296,29870,2020-01-04 06:03:42
77866,36891,2020-09-23 19:43:00
74154,11813,2019-06-16 17:21:15
33440,45805,2019-06-22 18:58:06
72678,21912,2020-10-11 07:28:49
47551,17837,2019-07-03 07:38:35
9697,43002,2020-06-02 08:36:38
73788,29790,2021-04-23 10:11:31
88979,35704,2021-03-18 10:25:37
4264,22549,2020-09-26 18:14:53
13386,21988,2020-09-07 11:34:00
22294,220,2019-11-01 12:37:14
5102,44771,2021-04-24 12:34:43
42669,35326,2021-02-22 08:17:14
22183,8514,2020-09-03 09:16:06
10965,46214,2020-01-09 05:42:09
79100,44762,2020-07-30 01:32:15
65354,18001,2020-07-07 14:04:42
6147,31456,2019-10-15 18:59:00
52609,18028,2020-08-09 07:19:52
54258,7621,2019-11-05 16:46:43
84584,1758,2020-09-18 22:23:35
97674,5359,2020-12-03 05:23:04
32421,31200,2021-04-16 08:26:28
39761,3284,2021-03-07 20:34:27
82961,42006,2020-12-25 16:53:48
73409,35173,2019-10-30 13:40:16
84655,16957,2019-10-13 11:53:10
9554,32168,2020-08-05 11:26:53
19791,40212,2020-11-30 20:33:03
49587,9903,2019-09-10 19:15:22
25241,48113,2021-01-03 18:13:09
46738,675,2020-05-19 08:56:44
37767,32463,2019-11-01 02:53:02
50780,25180,2019-08-04 06:56:08
35503,46997,2020-12-14 15:00:22
49736,43742,2020-12-08 16:21:25
43324,9848,2020-10-19 14:49:40
62089,20097,2021-02-15 10:52:56
77824,45623,2020-01-23 04:37:50
98758,37739,2019-05-29 13:39:20
65354,47717,2020-06-15 01:45:51
82228,18425,2020-03-31 00:37:42
39771,15128,2020-10-30 02:45:14
78058,25969,2019-09-11 22:55:41
25235,8565,2019-10-15 03:52:34
75899,16898,2020-10-13 07:13:46
76362,34934,2019-12-25 17:14:50
54102,3846,2020-02-17 11:50:28
62100,37013,2020-04-06 02:51:25
11632,31810,2020-05-30 20:46:28
61388,30461,2019-08-24 07:54:26
31296,10514,2019-08-07 22:17:32
74094,4566,2020-05-10 11:15:54
78499,7833,2021-05-11 06:57:36
30039,27067,2019-11-21 13:26:29
29286,22923,2019-07-17 14:45:35
89479,2939,2020-10-06 08:51:03
41517,39189,2019-10-10 08:22:21
90710,46659,2020-07-16 06:02:14
4951,1282,2019-09-02 11:36:20
80363,36527,2020-07-05 09:42:39
16948,40644,2019-10-29 01:30:04
94561,21529,2020-02-16 09:14:55
42087,33647,2019-07-15 07:34:23
66199,39472,2019-12-08 20:08:33
48564,30321,2021-01-11 10:26:27
19971,25959,2021-04-27 10:53:57
70985,42320,2021-02-26 15:40:50
32303,18505,2019-07-17 01:31:37
64740,42308,2019-10-13 07:51:37
70878,19070,2020-08-28 10:09:18
42949,45446,2019-09-12 23:40:43
96811,24740,2019-09-01 03:58:07
99111,36992,2020-02-02 10:44:53
42846,10056,2020-12-29 21:10:52
65578,15259,2021-03-17 01:13:55
92952,26850,2019-09-18 07:01:39
49654,20696,2020-08-18 20:02:02
77939,19795,2019-10-23 11:44:41
77781,6984,2019-09-26 05:01:49
82915,44894,2020-06-04 12:09:46
39248,17661,2020-07-31 17:24:08
78248,11480,2019-07-15 16:35:37
38457,14697,2020-01-20 00:36:24
65224,27230,2021-04-15 00:10:21
33623,8506,2020-01-27 01:30:39
58334,7459,2020-06-24 16:56:29
23413,15972,2020-03-16 10:40:52
57220,33581,2020-05-06 22:07:18
58001,41972,2020-06-24 11:35:09
41608,13366,2020-05-23 02:19:06
61236,11731,2020-05-04 10:51:09
78699,36100,2021-03-27 05:51:55
41049,11813,2020-10-20 20:29:25
52442,3920,2019-06-25 19:48:03
35655,39302,2020-12-05 03:33:22
70746,27412,2021-04-04 15:35:46
63404,1053,2019-05-11 06:32:48
14961,33277,2019-10-24 09:41:50
80650,21363,2019-09-21 01:08:52
28684,372,2019-12-12 02:48:10
2377,38736,2020-09-07 15:24:33
90387,43780,2019-09-22 00:04:25
98238,38611,2021-04-20 23:07:42
51893,22363,2020-04-24 23:41:08
13117,20509,2020-08-29 10:39:19
74815,38394,2020-06-26 18:36:29
39006,34394,2020-10-19 03:57:51
90569,10422,2021-03-20 06:23:01
61709,5875,2021-02-07 08:28:56
36232,11240,2019-08-20 04:03:46
72121,3900,2020-10-25 02:37:27
33584,10268,2020-08-27 05:49:22
72572,11972,2021-02-27 06:25:33
43780,47577,2020-12-10 11:54:47
48188,27372,2020-01-28 19:46:07
90057,13404,2020-04-30 23:05:22
30682,26704,2019-05-28 05:01:58
62658,38204,2019-06-21 13:49:49
49049,39808,2019-05-23 03:00:49
48896,37510,2020-12-22 14:53:29
49858,25469,2020-07-26 05:21:58
1570,24759,2019-10-28 19:11:17
1423,48210,2020-11-15 14:37:43
39378,28864,2020-01-06 07:41:34
19564,48790,2021-04-17 03:31:42
36302,11951,2019-05-16 14:26:26
26975,14626,2019-05-11 19:52:01
51770,982,2020-12-02 10:58:01
84036,32505,2021-04-09 01:58:43
16112,40187,2019-11-14 11:32:31
42275,8373,2019-07-14 07:09:57
79878,39337,2019-09-09 08:09:13
36102,39288,2021-04-28 06:14:33
41162,46066,2020-05-07 12:26:18
16300,32562,2020-08-05 18:37:20
8338,30810,2019-11-11 14:33:42
12026,9520,2020-12-14 02:54:51
28802,49803,2019-11-28 08:51:03
36327,9341,2020-07-18 08:18:39
85042,32966,2019-11-08 23:49:26
20050,21031,2019-11-08 23:01:16
71765,2936,2020-11-07 05:57:29
1094,26318,2020-09-07 00:28:42
40112,46949,2020-10-30 17:54:01
39792,13467,2019-08-28 05:07:33
61071,5371,2020-01-06 03:50:03
81,31951,2020-06-10 08:34:02
73901,47553,2020-09-12 05:23:02
92187,49651,2020-05-23 23:29:28
92494,33414,2019-07-21 22:58:50
10568,608,2021-03-21 06:59:22
7768,25934,2019-12-19 00:40:26
98418,6541,2021-02-21 06:55:04
64959,45866,2020-08-17 08:54:20
82444,38443,2019-09-25 20:24:17
10265,49904,2019-12-16 13:17:51
21015,5501,2020-11-08 02:11:26
38811,45967,2020-09-11 02:16:26
1066,22975,2021-01-22 23:32:52
49061,40028,2020-12-31 03:07:36
81481,8887,2019-08-13 19:34:00
96657,8578,2020-03-10 08:47:55
2967,323,2020-03-17 23:57:43
74783,31635,2020-06-21 09:08:19
7791,22705,2019-08-04 19:33:18
27569,10408,2019-06-23 01:11:46
35726,23815,2020-12-31 01:23:06
30732,9427,2019-11-29 13:26:04
40181,49243,2021-04-10 19:27:40
8871,27083,2019-06-20 14:58:15
38152,6418,2020-02-16 09:21:07
67325,49035,2020-07-13 17:41:36
29487,6457,2019-07-03 08:06:08
92470,40944,2021-02-17 03:29:44
45768,40447,2019-12-29 09:22:21
97893,17706,2019-10-20 04:46:53
14627,15313,2021-02-04 18:54:49
15490,16156,2021-01-20 05:16:31
72335,1272,2020-01-16 17:02:36
52346,34492,2019-08-21 10:51:58
47572,18609,2020-12-22 12:51:12
28872,8324,2020-05-30 04:42:01
41406,27955,2020-05-17 01:46:34
12243,8632,2019-10-29 11:54:24
78166,41351,2019-05-25 08:21:44
67792,8848,2020-01-13 13:33:15
4716,32486,2020-09-06 01:10:31
39103,35201,2021-02-15 23:32:54
1851,5746,2020-11-08 12:56:36
45487,49736,2019-05-16 15:02:28
3493,1771,2019-11-03 21:40:53
94190,16411,2019-06-13 20:17:31
43995,49089,2019-08-11 05:35:42
95431,3849,2021-02-21 07:20:13
7671,20174,2021-03-23 04:42:49
69730,23301,2020-02-23 12:18:22
55179,30021,2019-10-12 00:23:54
78020,34860,2020-08-14 23:50:50
49060,45502,2021-03-16 13:20:40
89348,3719,2021-02-17 00:36:12
32411,22994,2020-09-12 10:39:07
15692,17660,2019-05-21 10:52:48
94731,7855,2020-10-18 13:34:05
83601,32479,2020-02-24 00:30:34
70769,1064,2020-06-09 08:34:59
84535,26266,2019-05-11 02:00:21
29773,34448,2019-10-31 19:03:26
33309,36593,2019-07-27 10:39:33
38753,38321,2019-12-31 07:29:07
22876,13763,2020-01-23 10:11:53
515,29673,2019-07-03 22:47:19
77742,8038,2020-05-10 09:42:43
55645,26720,2020-10-03 06:51:22
43155,46564,2019-12-21 18:00:27
39606,14416,2020-05-27 05:35:48
61122,36335,2019-08-04 04:35:38
59084,24878,2021-04-21 04:59:59
18451,29638,2019-07-09 13:09:40
84628,18315,2020-01-09 23:20:23
25731,24909,2019-11-22 22:25:43
16823,32597,2020-08-16 18:34:07
81466,3936,2020-10-03 02:20:48
86324,29160,2020-07-21 09:48:34
97690,8065,2020-06-18 05:18:12
37936,20210,2020-08-06 10:29:50
52754,22425,2021-03-25 15:38:25
66984,21983,2021-05-03 05:22:03
98984,31180,2019-09-29 06:33:56
22288,31134,2020-09-23 19:15:18
33698,6067,2020-04-21 08:40:58
24957,37707,2019-12-24 23:14:29
64077,4803,2020-05-16 04:42:20
75473,324,2020-01-13 00:07:36
73178,48840,2021-03-31 23:26:18
8885,35362,2019-08-17 10:28:36
11469,6184,2020-11-16 17:09:13
97197,4026,2020-04-18 04:05:13
72998,40334,2020-01-21 17:25:44
29967,46391,2019-07-26 03:02:49
68165,2665,2019-09-08 20:48:42
43229,12097,2019-11-08 02:13:22
53496,27090,2019-09-11 05:59:32
5224,20338,2020-12-12 11:14:05
58641,7624,2020-09-23 05:25:46
27169,350,2020-03-28 09:08:40
30778,6240,2021-05-11 00:28:18
90336,8075,2020-07-01 12:06:50
72281,3649,2020-06-30 02:36:13
68167,30382,2020-07-14 04:39:27
81636,48424,2020-05-12 09:47:52
1914,47281,2020-07-23 06:06:01
91266,20234,2021-05-01 13:07:48
51849,35963,2020-12-19 01:03:39
44663,41949,2021-02-23 23:46:09
98328,47926,2019-08-22 15:42:34
18707,17760,2019-05-26 03:16:33
88041,9068,2019-07-12 07:47:20
29647,15801,2020-10-23 11:01:20
29785,40562,2021-03-10 08:01:04
97770,44650,2020-02-26 18:51:33
95529,8098,2019-07-30 11:43:00
40168,15737,2019-11-23 15:10:35
71332,45479,2019-07-24 14:09:00
24575,10782,2020-10-11 22:06:18
87663,38341,2019-09-11 01:08:38
63164,33586,2019-12-15 14:17:09
9277,47996,2019-10-13 02:07:26
72415,9670,2019-05-28 23:38:27
66799,9610,2020-10-25 07:59:32
72247,9454,2019-07-25 18:16:36
30147,10711,2020-01-05 06:41:36
68279,15413,2020-08-19 08:08:10
93909,16251,2019-09-11 13:57:46
80399,31447,2020-02-04 22:35:05
75981,41417,2021-04-16 17:48:36
46667,1325,2021-01-23 04:02:19
69343,46021,2021-05-07 23:45:57
2372,26950,2020-12-06 11:15:49
56055,20521,2021-02-05 20:52:15
31553,271,2020-08-23 05:01:00
59604,14784,2020-07-18 04:39:36
60275,36968,2021-04-25 16:20:19
88917,109,2020-10-21 11:18:10
40647,5438,2020-08-20 21:23:59
97726,40566,2020-08-04 05:15:27
8502,6308,2019-12-20 00:04:25
95636,26659,2019-12-08 01:37:55
4433,13620,2020-01-28 10:49:07
19860,22552,2021-03-08 00:10:35
65481,14513,2021-02-21 16:26:52
21364,41487,2021-01-10 05:06:19
74416,44943,2020-07-03 03:29:45
21127,19278,2021-01-23 02:10:38
24365,44145,2020-05-03 16:16:29
75441,29026,2020-05-11 11:32:20
33694,1681,2020-04-28 22:22:32
49259,45316,2021-03-12 08:49:37
26449,49523,2019-11-06 01:52:33
35171,741,2020-06-02 10:30:06
96290,15041,2020-08-26 05:03:02
83254,18782,2020-07-26 16:21:47
85019,27839,2021-03-16 22:18:55
96952,2031,2020-07-07 00:36:22
36074,26734,2020-02-24 11:24:15
20395,41539,2021-05-07 13:45:42
2595,20199,2020-06-06 12:25:55
91962,36882,2020-05-03 21:20:36
10411,34290,2019-07-28 01:14:52
57567,14083,2019-08-03 20:55:46
96967,8093,2021-03-13 08:20:52
33299,9502,2019-09-10 12:13:12
91684,30799,2019-12-08 04:01:24
13484,41860,2020-03-14 03:17:19
14641,29783,2021-02-01 14:01:50
73155,18922,2019-11-03 21:27:07
33614,19232,2020-02-15 12:05:40
36841,41112,2021-01-30 21:59:05
63251,25769,2019-11-29 15:05:14
40921,46262,2019-07-19 00:38:40
93806,26829,2020-01-23 19:43:10
77376,32540,2020-03-11 08:53:10
48463,46333,2019-07-25 00:59:49
34631,42542,2020-06-11 02:52:17
67471,12995,2021-02-03 17:06:09
25946,1015,2020-09-30 19:34:03
8882,5657,2021-02-22 12:36:11
29961,48253,2020-08-16 15:57:35
43433,21276,2020-11-13 01:40:24
73084,33509,2020-06-24 08:24:24
97649,753,2021-03-09 23:22:54
37528,42093,2020-07-23 01:38:23
88518,13555,2020-04-14 07:34:10
74558,5312,2019-09-17 05:28:00
88345,6611,2020-06-12 02:14:22
54735,41345,2019-12-10 15:43:24
67913,36356,2020-01-31 18:22:29
65044,41701,2019-06-08 05:14:52
4035,27372,2019-05-14 10:27:46
93994,7683,2020-03-24 09:28:14
33154,41564,2021-01-04 22:38:56
67486,6297,2021-05-02 10:30:34
22381,19727,2020-01-20 18:33:00
71214,29958,2019-08-21 05:18:29
69385,48093,2020-03-05 02:52:10
20493,42480,2019-08-21 18:45:45
46162,27888,2020-01-01 14:01:39
315,8257,2019-05-18 01:41:16
7417,19204,2020-07-21 11:53:23
22386,44070,2020-08-01 18:49:09
20079,35624,2020-01-14 23:29:34
10300,27160,2021-02-08 11:47:17
97750,36996,2020-05-16 23:52:02
66428,38304,2020-03-08 19:49:57
92470,27695,2020-11-13 19:13:25
92708,21579,2019-12-16 07:20:48
18218,27599,2019-12-15 20:48:30
37923,4144,2020-08-25 11:46:12
92619,43569,2020-05-24 13:25:52
28850,2675,2019-08-27 01:48:41
48699,41848,2020-05-07 16:49:02
18177,42107,2019-10-09 04:22:26
77020,6639,2019-10-26 10:55:48
57469,44851,2021-04-21 04:28:47
5781,31869,2019-07-03 17:01:16
29788,4781,2021-04-01 20:25:32
35012,12594,2019-06-22 02:48:03
24727,18931,2020-01-11 09:08:11
4966,7979,2021-01-27 00:36:46
93105,7412,2019-12-28 17:38:52
67702,10385,2021-04-19 01:34:21
23592,35981,2019-10-28 20:55:42
36724,35944,2019-08-31 02:10:21
47086,22028,2020-06-04 06:17:56
330,38961,2020-06-27 14:44:52
73953,8962,2020-03-02 20:41:27
14404,41428,2021-03-02 04:32:03
39906,8137,2020-02-20 17:41:21
4599,36643,2020-08-11 21:16:46
51302,12576,2020-11-01 20:56:33
68645,17047,2021-04-13 10:04:12
86753,15402,2019-08-21 08:36:35
32122,32016,2019-10-20 18:53:47
98616,30036,2020-09-02 06:00:08
58109,15545,2019-08-14 18:54:02
18439,27356,2020-03-23 08:02:20
25052,10565,2019-12-02 21:43:53
71337,35039,2021-03-23 01:41:17
50845,27464,2020-08-10 00:05:07
15077,49034,2020-02-13 23:34:27
62421,219,2021-04-16 14:25:03
6730,18126,2020-10-06 16:03:09
53223,44667,2020-05-30 19:36:32
11492,17733,2020-01-26 21:37:17
32018,22722,2020-07-23 05:16:53
9440,48598,2019-12-02 01:53:46
70775,40744,2020-06-19 23:28:41
55115,13478,2020-06-06 03:39:21
24303,6105,2020-03-30 02:18:27
81659,19322,2020-09-06 13:15:25
42351,48766,2020-04-01 23:59:04
65453,9,2021-02-19 23:02:38
72493,20035,2019-05-13 18:25:51
44075,40459,2020-06-12 01:06:29
20618,4873,2019-05-16 09:27:29
61885,24070,2019-06-06 14:25:51
33284,10514,2019-07-14 17:12:07
1082,6274,2019-08-08 02:23:06
44255,30843,2020-03-29 20:05:03
